time,overall,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,one_reliability
4/6/2020 0:00,5,2,8,5,0,3,0,2,0.624196574
4/6/2020 0:00,0,6,3,10,10,9,0,3,0.394076385
4/6/2020 0:00,2.3,9,1.5,9.5,0,6.5,0.5,4,0.721070691
4/6/2020 0:00,5.7,9,7,5,0,4,0,8,0.57644897
4/6/2020 0:00,6.6,6,2,9,0,4,1,15,0.62465867
4/6/2020 0:00,5.2,2,4,1,0,4,0,17,0.616071542
4/6/2020 0:00,7.3,9,7,4,0,8,0,18,0.650194804
4/6/2020 0:05,4.5,10,10,3,0,10,0,2,0.621119154
4/6/2020 0:05,1.4,6,2,0,7,9,0,5,0.74970139
4/6/2020 0:05,6,10,3,8,4,1,0,6,0.710666316
4/6/2020 0:05,3.8,4,4,3,0,5,0,8,0.577248006
4/6/2020 0:05,5.1,10,1,4,0,3,0,13,0.603822893
4/6/2020 0:05,1.5,10,4,1,0,1,0,14,0.638021436
4/6/2020 0:05,3.3,7,9,10,0,3,0,15,0.625367804
4/6/2020 0:05,6.6,4,3,8,0,10,0,19,0.593728498
4/6/2020 0:10,5.7,1,7,1,0,2,0,2,0.621119154
4/6/2020 0:10,0.6,5,9,10,7,0,1,3,0.41119464
4/6/2020 0:10,0.2,6,5,9,0,7.5,0,4,0.721070691
4/6/2020 0:10,4.2,3,4,3,9,4,0,5,0.747479929
4/6/2020 0:10,9.1,1,7,0,8,9,0,6,0.710666316
4/6/2020 0:10,3.1,0,2,10,0,5,0,12,0.624023226
4/6/2020 0:10,5.7,2,6,1,0,3,0,18,0.653522879
4/6/2020 0:10,5.5,8,10,1,0,3,1,19,0.586939236
4/6/2020 0:15,0.7,4,7,5,0,9,0,3,0.41119464
4/6/2020 0:15,6.4,8,3,1,7,10,0,6,0.710697522
4/6/2020 0:15,5.3,8,5,9,0,5,0,8,0.577248006
4/6/2020 0:15,5.7,10,4,7,0,2,0,12,0.624023226
4/6/2020 0:20,1.3,0,7,10,10,1,0,3,0.41119464
4/6/2020 0:20,2.6,10,3,10,9,0,0,6,0.710697522
4/6/2020 0:20,4.8,0,5,4,0,8,0,15,0.616556336
