time,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19
4/6/2020 0:00,"[4.208333333333333, 2.0, 10.0, 3.0, 5.0, 5.0, 0.0, 1]","[4.508333333333334, 7.0, 7.0, 3.75, 0.0, 4.5, 0.0, 2.0]","[5.666666666666667, 4.0, 4.0, 7.0, 6.0, 3.0, 0.0, 3.0]","[5.958333333333334, 9.0, 2.25, 7.5, 0.0, 5.75, 0.0, 4.0]","[4.104166666666667, 4.5, 3.0, 2.5, 6.0, 5.5, 0.0, 5.0]","[6.125, 8.0, 5.0, 5.0, 5.0, 6.0, 0.0, 6.0]",,"[4.270833333333334, 4.0, 7.0, 5.5, 0.0, 4.0, 0.0, 8.0]","[6.158333333333333, 7.5, 5.5, 6.0, 3.75, 6.0, 0.0, 9.0]",,,"[7.375, 10.0, 4.0, 10.0, 0.0, 5.0, 0.0, 12.0]","[4.666666666666667, 10.0, 1.0, 4.0, 0.0, 3.0, 0.0, 13]","[4.7375, 8.0, 5.0, 4.5, 0.0, 2.25, 0.0, 14.0]","[4.833333333333333, 7.5, 5.0, 5.0, 0.0, 3.5, 0.0, 15.0]","[5.166666666666667, 7.0, 5.0, 4.0, 3.0, 9.0, 0.0, 16]","[1.875, 2.0, 0.0, 3.0, 0.0, 4.0, 0.0, 17.0]","[2.958333333333333, 2.0, 6.0, 4.0, 0.0, 3.0, 0.0, 18.0]","[5.104166666666667, 7.0, 4.0, 6.5, 0.0, 3.0, 1.0, 19.0]"
4/6/2020 0:05,"[4.208333333333333, 2.0, 10.0, 3.0, 5.0, 5.0, 0.0, 1]","[4.145833333333333, 7.25, 6.75, 2.5, 0.0, 6.0, 0.0, 2.0]","[5.325, 4.0, 4.25, 6.0, 6.0, 3.0, 0.0, 3.0]","[5.458333333333333, 9.0, 3.0, 6.0, 0.0, 5.0, 0.0, 4.0]","[4.104166666666667, 4.5, 3.0, 2.5, 6.0, 5.5, 0.0, 5.0]","[5.854166666666667, 7.5, 4.5, 4.5, 5.5, 6.5, 0.0, 6.0]",,"[3.875, 2.75, 6.0, 5.75, 0.0, 4.0, 0.0, 8.0]","[6.75, 7.0, 7.0, 8.0, 3.0, 5.0, 0.0, 9.0]",,"[7.625000000000001, 5.0, 10.0, 7.0, 10.0, 5.0, 0.0, 11]","[5.8125, 5.0, 7.0, 8.5, 0.0, 7.0, 0.0, 12.0]","[4.666666666666667, 10.0, 1.0, 4.0, 0.0, 3.0, 0.0, 13]","[4.7375, 8.0, 5.0, 4.5, 0.0, 2.25, 0.0, 14.0]","[4.4375, 7.5, 5.0, 4.0, 0.0, 3.0, 0.0, 15.0]","[5.166666666666667, 7.0, 5.0, 4.0, 3.0, 9.0, 0.0, 16]","[2.7291666666666665, 2.0, 0.0, 5.0, 0.0, 6.5, 0.0, 17.0]","[2.270833333333333, 2.0, 5.0, 2.5, 0.0, 3.0, 0.0, 18.0]","[5.104166666666667, 7.0, 4.0, 6.5, 0.0, 3.0, 1.0, 19.0]"
4/6/2020 0:10,"[4.208333333333333, 2.0, 10.0, 3.0, 5.0, 5.0, 0.0, 1]","[3.7083333333333335, 6.5, 6.5, 2.0, 0.0, 6.0, 0.0, 2.0]","[4.979166666666667, 4.0, 4.5, 5.0, 6.0, 3.0, 0.0, 3.0]","[5.458333333333333, 9.0, 3.0, 6.0, 0.0, 5.0, 0.0, 4.0]","[3.7083333333333335, 3.0, 4.0, 3.0, 5.0, 4.0, 0.0, 5.0]","[5.979166666666667, 7.0, 5.0, 4.5, 6.5, 6.5, 0.0, 6.0]",,"[4.804166666666666, 4.75, 6.5, 6.5, 0.0, 4.0, 0.0, 8.0]","[6.116666666666667, 7.0, 6.5, 6.0, 3.75, 5.5, 0.0, 9.0]",,"[7.625000000000001, 5.0, 10.0, 7.0, 10.0, 5.0, 0.0, 11]","[5.8125, 5.0, 7.0, 8.5, 0.0, 7.0, 0.0, 12.0]","[6.125, 7.0, 3.0, 9.0, 0.0, 8.0, 0.0, 13]","[4.812500000000001, 7.0, 6.0, 5.0, 0.0, 3.5, 0.0, 14.0]","[4.383333333333334, 8.25, 5.0, 3.25, 0.0, 3.25, 0.0, 15.0]","[6.208333333333334, 8.5, 4.5, 4.5, 5.5, 8.0, 0.0, 16.0]","[2.7291666666666665, 2.0, 0.0, 5.0, 0.0, 6.5, 0.0, 17.0]","[2.270833333333333, 2.0, 5.0, 2.5, 0.0, 3.0, 0.0, 18.0]","[5.333333333333334, 8.0, 5.0, 6.0, 0.0, 3.0, 1.0, 19.0]"
4/6/2020 0:15,"[4.208333333333333, 2.0, 10.0, 3.0, 5.0, 5.0, 0.0, 1]","[5.020833333333334, 8.0, 6.0, 4.5, 0.0, 6.0, 0.0, 2.0]","[4.770833333333333, 4.0, 4.5, 5.0, 5.0, 3.0, 0.0, 3.0]","[4.4375, 9.5, 1.5, 3.5, 0.0, 4.0, 0.0, 4.0]","[4.529166666666667, 5.75, 2.75, 3.75, 4.5, 4.0, 0.0, 5.0]","[5.820833333333334, 7.0, 5.0, 4.5, 6.0, 5.25, 0.0, 6.0]",,"[5.25, 7.0, 6.0, 6.0, 0.0, 5.0, 0.0, 8.0]","[5.25, 7.0, 7.0, 4.0, 3.0, 5.0, 0.0, 9.0]",,"[7.625000000000001, 5.0, 10.0, 7.0, 10.0, 5.0, 0.0, 11]","[7.166666666666667, 10.0, 10.0, 7.0, 0.0, 9.0, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.55, 5.5, 7.0, 5.0, 0.0, 4.75, 0.0, 14.0]","[4.383333333333334, 8.25, 5.0, 3.25, 0.0, 3.25, 0.0, 15.0]","[6.208333333333334, 8.5, 4.5, 4.5, 5.5, 8.0, 0.0, 16.0]","[2.7291666666666665, 2.0, 0.0, 5.0, 0.0, 6.5, 0.0, 17.0]","[3.7083333333333335, 1.5, 4.5, 6.5, 0.0, 6.5, 0.0, 18.0]","[5.145833333333333, 7.5, 3.5, 6.5, 0.0, 2.0, 1.0, 19.0]"
4/6/2020 0:20,"[5.916666666666667, 6.0, 8.5, 4.5, 6.0, 4.0, 0.0, 1.0]","[4.458333333333333, 8.0, 5.25, 3.25, 0.0, 6.0, 0.0, 2.0]","[4.916666666666667, 4.0, 4.0, 5.0, 6.0, 3.0, 0.0, 3.0]","[4.4375, 9.5, 1.5, 3.5, 0.0, 4.0, 0.0, 4.0]","[4.529166666666667, 5.75, 2.75, 3.75, 4.5, 4.0, 0.0, 5.0]","[5.979166666666667, 7.0, 5.0, 5.0, 6.0, 4.5, 0.0, 6.0]",,"[4.383333333333334, 4.25, 6.5, 5.75, 0.0, 4.25, 0.0, 8.0]","[5.229166666666667, 7.0, 7.0, 4.0, 3.0, 4.5, 0.0, 9.0]",,"[7.333333333333334, 7.5, 5.0, 7.0, 8.0, 5.5, 0.0, 11.0]","[5.729166666666667, 5.0, 10.0, 7.0, 0.0, 9.5, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.55, 5.5, 7.0, 5.0, 0.0, 4.75, 0.0, 14.0]","[4.458333333333333, 7.5, 5.0, 4.0, 0.0, 3.5, 0.0, 15.0]","[6.208333333333334, 8.5, 4.5, 4.5, 5.5, 8.0, 0.0, 16.0]","[2.7291666666666665, 2.0, 0.0, 5.0, 0.0, 6.5, 0.0, 17.0]","[3.7083333333333335, 1.5, 4.5, 6.5, 0.0, 6.5, 0.0, 18.0]","[5.145833333333333, 7.5, 3.5, 6.5, 0.0, 2.0, 1.0, 19.0]"
4/6/2020 0:25,"[5.833333333333334, 5.0, 7.0, 6.0, 5.0, 5.0, 0.0, 1.0]","[4.458333333333333, 8.0, 5.25, 3.25, 0.0, 6.0, 0.0, 2.0]","[5.125000000000001, 5.0, 4.0, 5.0, 5.5, 3.5, 0.0, 3.0]","[4.4375, 9.5, 1.5, 3.5, 0.0, 4.0, 0.0, 4.0]","[4.529166666666667, 5.75, 2.75, 3.75, 4.5, 4.0, 0.0, 5.0]","[5.716666666666667, 7.0, 5.0, 4.5, 5.5, 5.25, 0.0, 6.0]",,"[4.383333333333334, 4.25, 6.5, 5.75, 0.0, 4.25, 0.0, 8.0]","[5.25, 7.0, 7.0, 4.0, 3.0, 5.0, 0.0, 9.0]",,"[7.333333333333334, 7.5, 5.0, 7.0, 8.0, 5.5, 0.0, 11.0]","[6.041666666666667, 10.0, 10.0, 4.0, 0.0, 9.0, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.270833333333334, 4.5, 7.5, 5.0, 0.0, 3.5, 0.0, 14.0]","[4.570833333333334, 8.25, 5.0, 3.75, 0.0, 3.25, 0.0, 15.0]","[7.25, 10.0, 4.0, 5.0, 8.0, 7.0, 0.0, 16]","[2.7291666666666665, 2.0, 0.0, 5.0, 0.0, 6.5, 0.0, 17.0]","[5.0, 2.0, 5.0, 9.0, 0.0, 10.0, 0.0, 18.0]","[5.145833333333333, 7.5, 3.5, 6.5, 0.0, 2.0, 1.0, 19.0]"
4/6/2020 0:30,"[5.833333333333334, 5.0, 7.0, 6.0, 5.0, 5.0, 0.0, 1.0]","[4.458333333333333, 8.0, 5.25, 3.25, 0.0, 6.0, 0.0, 2.0]","[5.445833333333334, 5.5, 4.25, 5.0, 6.0, 4.5, 0.0, 3.0]","[4.4375, 9.5, 1.5, 3.5, 0.0, 4.0, 0.0, 4.0]","[4.529166666666667, 5.75, 2.75, 3.75, 4.5, 4.0, 0.0, 5.0]","[5.820833333333334, 7.0, 5.0, 4.5, 6.0, 5.25, 0.0, 6.0]",,"[5.270833333333334, 7.0, 6.0, 6.0, 0.0, 5.5, 0.0, 8.0]","[5.25, 7.0, 7.0, 4.0, 3.0, 5.0, 0.0, 9.0]",,"[7.541666666666668, 10.0, 4.0, 7.0, 6.0, 6.0, 0.0, 11.0]","[6.041666666666667, 10.0, 10.0, 4.0, 0.0, 9.0, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.270833333333334, 4.5, 7.5, 5.0, 0.0, 3.5, 0.0, 14.0]","[5.270833333333334, 9.0, 5.0, 5.0, 0.0, 3.5, 0.0, 15.0]","[7.25, 10.0, 4.0, 5.0, 8.0, 7.0, 0.0, 16]","[1.875, 2.0, 0.0, 3.0, 0.0, 4.0, 0.0, 17]","[5.0, 2.0, 5.0, 9.0, 0.0, 10.0, 0.0, 18.0]","[5.291666666666667, 8.0, 5.0, 6.0, 0.0, 2.0, 1.0, 19.0]"
4/6/2020 0:35,"[5.895833333333334, 7.0, 8.5, 4.5, 4.5, 4.0, 0.0, 1.0]","[4.458333333333333, 8.0, 5.25, 3.25, 0.0, 6.0, 0.0, 2.0]","[5.445833333333334, 5.5, 4.25, 5.0, 6.0, 4.5, 0.0, 3.0]","[3.208333333333333, 9.0, 0.0, 1.0, 0.0, 5.0, 0.0, 4]","[4.104166666666667, 2.5, 3.0, 5.0, 4.0, 7.0, 0.0, 5.0]","[5.979166666666667, 7.0, 5.0, 5.0, 6.0, 4.5, 0.0, 6.0]",,"[5.270833333333334, 7.0, 6.0, 6.0, 0.0, 5.5, 0.0, 8.0]","[5.25, 7.0, 7.0, 4.0, 3.0, 5.0, 0.0, 9.0]",,"[7.520833333333334, 7.5, 6.5, 7.0, 8.0, 5.5, 0.0, 11.0]","[5.1875, 5.5, 10.0, 5.5, 0.0, 6.5, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.270833333333334, 4.5, 7.5, 5.0, 0.0, 3.5, 0.0, 14.0]","[5.270833333333334, 9.0, 5.0, 5.0, 0.0, 3.5, 0.0, 15.0]","[7.25, 10.0, 4.0, 5.0, 8.0, 7.0, 0.0, 16]","[1.875, 2.0, 0.0, 3.0, 0.0, 4.0, 0.0, 17]","[5.625, 2.0, 10.0, 9.0, 0.0, 10.0, 0.0, 18.0]","[4.270833333333334, 7.0, 3.5, 4.5, 0.0, 2.5, 0.5, 19.0]"
4/6/2020 0:40,"[6.708333333333334, 9.0, 7.0, 6.0, 4.0, 3.0, 0.0, 1.0]","[4.570833333333334, 8.0, 4.25, 4.0, 0.0, 5.0, 0.0, 2.0]","[4.75, 3.0, 4.25, 5.0, 6.0, 5.25, 0.0, 3.0]","[3.208333333333333, 9.0, 0.0, 1.0, 0.0, 5.0, 0.0, 4]","[4.104166666666667, 2.5, 3.0, 5.0, 4.0, 7.0, 0.0, 5.0]","[5.979166666666667, 7.0, 5.0, 5.0, 6.0, 4.5, 0.0, 6.0]",,"[5.270833333333334, 7.0, 6.0, 6.0, 0.0, 5.5, 0.0, 8.0]","[5.583333333333334, 6.5, 6.5, 5.5, 3.0, 4.5, 0.0, 9.0]","[4.083333333333334, 1.0, 7.0, 7.0, 0.0, 7.0, 0.0, 10]","[7.520833333333334, 7.5, 6.5, 7.0, 8.0, 5.5, 0.0, 11.0]","[5.1875, 5.5, 10.0, 5.5, 0.0, 6.5, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.270833333333334, 4.5, 7.5, 5.0, 0.0, 3.5, 0.0, 14.0]","[4.9375, 7.25, 6.0, 5.0, 0.0, 4.75, 0.0, 15.0]","[7.25, 10.0, 4.0, 5.0, 8.0, 7.0, 0.0, 16]",,"[5.625, 2.0, 10.0, 9.0, 0.0, 10.0, 0.0, 18.0]","[4.270833333333334, 7.0, 3.5, 4.5, 0.0, 2.5, 0.5, 19.0]"
4/6/2020 0:45,"[6.708333333333334, 9.0, 7.0, 6.0, 4.0, 3.0, 0.0, 1.0]","[4.883333333333334, 8.0, 3.5, 5.0, 0.0, 5.75, 0.0, 2.0]","[4.658333333333333, 3.0, 4.25, 5.0, 5.5, 5.5, 0.0, 3.0]","[3.208333333333333, 9.0, 0.0, 1.0, 0.0, 5.0, 0.0, 4]","[4.333333333333334, 5.5, 2.0, 3.5, 4.5, 5.5, 0.0, 5.0]","[5.845833333333333, 6.5, 4.5, 5.0, 6.5, 3.75, 0.0, 6.0]",,"[5.7625, 7.5, 6.5, 6.5, 0.0, 7.75, 0.0, 8.0]","[5.583333333333334, 6.5, 6.5, 5.5, 3.0, 4.5, 0.0, 9.0]","[4.083333333333334, 1.0, 7.0, 7.0, 0.0, 7.0, 0.0, 10]","[7.520833333333334, 7.5, 6.5, 7.0, 8.0, 5.5, 0.0, 11.0]","[5.1875, 5.5, 10.0, 5.5, 0.0, 6.5, 0.0, 12.0]","[5.750000000000001, 6.0, 5.75, 8.0, 0.0, 6.75, 0.0, 13.0]","[4.270833333333334, 4.5, 7.5, 5.0, 0.0, 3.5, 0.0, 14.0]","[4.9375, 7.25, 6.0, 5.0, 0.0, 4.75, 0.0, 15.0]","[7.25, 10.0, 4.0, 5.0, 8.0, 7.0, 0.0, 16]",,"[5.625, 2.0, 10.0, 9.0, 0.0, 10.0, 0.0, 18.0]","[3.4166666666666665, 8.0, 2.0, 2.0, 0.0, 2.0, 0.0, 19.0]"
